Index,NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
Susiana (-6300),Susiana,IrArcha,-6300,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6300),Kachi Plain,PkAcerN,-6300,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Susiana (-6200),Susiana,IrArcha,-6200,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6200),Kachi Plain,PkAcerN,-6200,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6200),Konya Plain,TrNeoLT,-6200,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
Kachi Plain (-6100),Kachi Plain,PkAcerN,-6100,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Susiana (-6100),Susiana,IrArcha,-6100,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Konya Plain (-6100),Konya Plain,TrNeoLT,-6100,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
Kachi Plain (-6000),Kachi Plain,PkAcerN,-6000,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6000),Konya Plain,TrClcER,-6000,3.5307997280000003,3.7197482139999996,3.456677382,1.6010103119999999,0.1,0.1,0.014285714,0.1,0.6
Susiana (-6000),Susiana,IrKhzE*,-6000,2.440826364,2.214147783,2.7133098189999996,1.0,0.1,0.45,0.0,0.0,0.9
Konya Plain (-5900),Konya Plain,TrClcER,-5900,3.5307997280000003,3.7197482139999996,3.456677382,1.6010103119999999,0.1,0.1,0.014285714,0.1,0.6
Kachi Plain (-5900),Kachi Plain,PkAcerN,-5900,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Susiana (-5900),Susiana,IrKhzE*,-5900,2.440826364,2.214147783,2.7133098189999996,1.0,0.1,0.45,0.0,0.0,0.9
Konya Plain (-5800),Konya Plain,TrClcER,-5800,3.5307997280000003,3.7197482139999996,3.456677382,1.6010103119999999,0.1,0.1,0.014285714,0.1,0.6
Susiana (-5800),Susiana,IrKhzE*,-5800,2.440826364,2.214147783,2.7133098189999996,1.0,0.1,0.45,0.0,0.0,0.9
Kachi Plain (-5800),Kachi Plain,PkAcerN,-5800,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-5700),Konya Plain,TrClcER,-5700,3.5307997280000003,3.7197482139999996,3.456677382,1.6010103119999999,0.1,0.1,0.014285714,0.1,0.6
Susiana (-5700),Susiana,IrKhzEM,-5700,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Kachi Plain (-5700),Kachi Plain,PkAcerN,-5700,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Susiana (-5600),Susiana,IrKhzEM,-5600,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Konya Plain (-5600),Konya Plain,TrClcER,-5600,3.5307997280000003,3.7197482139999996,3.456677382,1.6010103119999999,0.1,0.1,0.014285714,0.1,0.6
Kachi Plain (-5600),Kachi Plain,PkAcerN,-5600,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Kachi Plain (-5500),Kachi Plain,PkCeraN,-5500,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5500),Susiana,IrKhzEM,-5500,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Kachi Plain (-5400),Kachi Plain,PkCeraN,-5400,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5400),Susiana,IrKhzEM,-5400,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Kachi Plain (-5300),Kachi Plain,PkCeraN,-5300,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5300),Susiana,IrKhzEM,-5300,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Kachi Plain (-5200),Kachi Plain,PkCeraN,-5200,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5200),Susiana,IrKhzEM,-5200,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
Kachi Plain (-5100),Kachi Plain,PkCeraN,-5100,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5100),Susiana,IrKhzM*,-5100,3.1113624,3.14745979,2.991896918,1.2104466329999999,0.17272727300000001,0.3,0.0,0.0,2.7
Kachi Plain (-5000),Kachi Plain,PkCeraN,-5000,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-5000),Susiana,IrKhzM*,-5000,3.506766378,2.62539326,2.991896918,1.543779966,0.17272727300000001,0.3,0.0,0.0,2.7
Konya Plain (-5000),Konya Plain,TrClcLT,-5000,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Middle Yellow River Valley (-5000),Middle Yellow River Valley,CnYngsh,-5000,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Kachi Plain (-4900),Kachi Plain,PkCeraN,-4900,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Middle Yellow River Valley (-4900),Middle Yellow River Valley,CnYngsh,-4900,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Susiana (-4900),Susiana,IrKhzM*,-4900,3.506766378,2.62539326,2.991896918,1.543779966,0.17272727300000001,0.3,0.0,0.0,2.7
Konya Plain (-4900),Konya Plain,TrClcLT,-4900,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4800),Kachi Plain,PkCeraN,-4800,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-4800),Susiana,IrKhzM*,-4800,3.506766378,2.62539326,2.991896918,1.543779966,0.17272727300000001,0.3,0.0,0.0,2.7
Konya Plain (-4800),Konya Plain,TrClcLT,-4800,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Middle Yellow River Valley (-4800),Middle Yellow River Valley,CnYngsh,-4800,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Middle Yellow River Valley (-4700),Middle Yellow River Valley,CnYngsh,-4700,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Kachi Plain (-4700),Kachi Plain,PkCeraN,-4700,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Konya Plain (-4700),Konya Plain,TrClcLT,-4700,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Susiana (-4700),Susiana,IrKhzL*,-4700,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.32857142899999997,0.0,0.0,2.7
Susiana (-4600),Susiana,IrKhzL*,-4600,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.32857142899999997,0.0,0.0,2.7
Konya Plain (-4600),Konya Plain,TrClcLT,-4600,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4600),Kachi Plain,PkCeraN,-4600,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Middle Yellow River Valley (-4600),Middle Yellow River Valley,CnYngsh,-4600,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Susiana (-4500),Susiana,IrKhzL*,-4500,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.32857142899999997,0.0,0.0,2.7
Konya Plain (-4500),Konya Plain,TrClcLT,-4500,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4500),Kachi Plain,PkCeraN,-4500,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Middle Yellow River Valley (-4500),Middle Yellow River Valley,CnYngsh,-4500,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Konya Plain (-4400),Konya Plain,TrClcLT,-4400,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4400),Kachi Plain,PkCeraN,-4400,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Middle Yellow River Valley (-4400),Middle Yellow River Valley,CnYngsh,-4400,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Upper Egypt (-4400),Upper Egypt,EgBadar,-4400,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Susiana (-4400),Susiana,IrKhzL*,-4400,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.32857142899999997,0.0,0.0,2.7
Susiana (-4300),Susiana,IrSusa1,-4300,4.027735079,2.96983565,3.0500244339999996,1.969035122,0.245454545,0.32857142899999997,0.15,0.0,2.7
Upper Egypt (-4300),Upper Egypt,EgBadar,-4300,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Konya Plain (-4300),Konya Plain,TrClcLT,-4300,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4300),Kachi Plain,PkCeraN,-4300,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Middle Yellow River Valley (-4300),Middle Yellow River Valley,CnYngsh,-4300,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Konya Plain (-4200),Konya Plain,TrClcLT,-4200,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Upper Egypt (-4200),Upper Egypt,EgBadar,-4200,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Middle Yellow River Valley (-4200),Middle Yellow River Valley,CnYngsh,-4200,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Kachi Plain (-4200),Kachi Plain,PkCeraN,-4200,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-4200),Susiana,IrSusa1,-4200,4.027735079,2.96983565,3.0500244339999996,1.969035122,0.245454545,0.32857142899999997,0.15,0.0,2.7
